Images -> gris
f=tf.Variable(initial_value=tf.range(-10,10,20/576,dtype=tf.float32),trainable=False)
f fixé
pas de distored_inputs


EVALUATION


2018-02-02 11:25:28.104005: precision @ 1 = 0.101
2018-02-02 11:26:14.646423: precision @ 1 = 0.122
2018-02-02 11:27:04.881118: precision @ 1 = 0.129
2018-02-02 11:27:49.401741: precision @ 1 = 0.135
2018-02-02 11:28:40.639789: precision @ 1 = 0.132
2018-02-02 11:29:30.716066: precision @ 1 = 0.133
2018-02-02 11:30:15.253860: precision @ 1 = 0.135
2018-02-02 11:31:06.368076: precision @ 1 = 0.135
2018-02-02 11:31:51.813113: precision @ 1 = 0.134
2018-02-02 11:32:40.729689: precision @ 1 = 0.133
2018-02-02 11:33:30.475857: precision @ 1 = 0.133
2018-02-02 11:34:15.867169: precision @ 1 = 0.131
2018-02-02 11:35:06.011140: precision @ 1 = 0.135
2018-02-02 11:35:51.234641: precision @ 1 = 0.132
2018-02-02 11:36:40.521387: precision @ 1 = 0.132
2018-02-02 11:37:29.395847: precision @ 1 = 0.130
2018-02-02 11:38:15.128089: precision @ 1 = 0.132
2018-02-02 11:39:05.709701: precision @ 1 = 0.133
2018-02-02 11:39:52.136027: precision @ 1 = 0.131
2018-02-02 11:40:42.128083: precision @ 1 = 0.133


LOSS (Train)



2018-02-02 11:25:11.293731: step 0, loss = 2.58 (2650.9 examples/sec; 0.048 sec/batch)
2018-02-02 11:25:13.840877: step 100, loss = 112.69 (5025.2 examples/sec; 0.025 sec/batch)
2018-02-02 11:25:16.059865: step 200, loss = 127.97 (5768.4 examples/sec; 0.022 sec/batch)
2018-02-02 11:25:18.185092: step 300, loss = 99.03 (6022.9 examples/sec; 0.021 sec/batch)
2018-02-02 11:25:20.857251: step 400, loss = 118.61 (4790.1 examples/sec; 0.027 sec/batch)
2018-02-02 11:25:23.064130: step 500, loss = 116.14 (5800.0 examples/sec; 0.022 sec/batch)
2018-02-02 11:25:25.103684: step 600, loss = 117.83 (6275.9 examples/sec; 0.020 sec/batch)
2018-02-02 11:25:27.338298: step 700, loss = 100.02 (5728.1 examples/sec; 0.022 sec/batch)
2018-02-02 11:25:28.869711: step 800, loss = 112.31 (8358.3 examples/sec; 0.015 sec/batch)
2018-02-02 11:25:30.057338: step 900, loss = 124.85 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:31.260592: step 1000, loss = 126.90 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:32.463844: step 1100, loss = 118.03 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:33.651471: step 1200, loss = 114.73 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:34.864161: step 1300, loss = 108.66 (10555.0 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:36.067415: step 1400, loss = 94.22 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:37.270667: step 1500, loss = 117.59 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:38.473921: step 1600, loss = 105.71 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:39.677174: step 1700, loss = 127.51 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:41.552374: step 1800, loss = 119.25 (6825.9 examples/sec; 0.019 sec/batch)
2018-02-02 11:25:42.820621: step 1900, loss = 126.53 (10092.7 examples/sec; 0.013 sec/batch)
2018-02-02 11:25:44.055538: step 2000, loss = 124.33 (10365.1 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:45.450399: step 2100, loss = 119.22 (9176.5 examples/sec; 0.014 sec/batch)
2018-02-02 11:25:47.068949: step 2200, loss = 116.29 (7908.3 examples/sec; 0.016 sec/batch)
2018-02-02 11:25:48.287829: step 2300, loss = 100.08 (10501.4 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:49.584842: step 2400, loss = 122.55 (9868.8 examples/sec; 0.013 sec/batch)
2018-02-02 11:25:50.850602: step 2500, loss = 105.48 (10112.5 examples/sec; 0.013 sec/batch)
2018-02-02 11:25:52.085109: step 2600, loss = 126.52 (10368.5 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:53.335243: step 2700, loss = 101.82 (10238.9 examples/sec; 0.013 sec/batch)
2018-02-02 11:25:54.554122: step 2800, loss = 118.03 (10501.4 examples/sec; 0.012 sec/batch)
2018-02-02 11:25:55.808068: step 2900, loss = 114.27 (10207.8 examples/sec; 0.013 sec/batch)
2018-02-02 11:25:57.058202: step 3000, loss = 106.56 (10238.9 examples/sec; 0.013 sec/batch)
2018-02-02 11:25:58.339590: step 3100, loss = 133.01 (9989.2 examples/sec; 0.013 sec/batch)
2018-02-02 11:25:59.620976: step 3200, loss = 118.06 (9989.2 examples/sec; 0.013 sec/batch)
2018-02-02 11:26:01.855590: step 3300, loss = 125.58 (5728.1 examples/sec; 0.022 sec/batch)
2018-02-02 11:26:04.192779: step 3400, loss = 109.11 (5476.7 examples/sec; 0.023 sec/batch)
2018-02-02 11:26:06.583063: step 3500, loss = 112.45 (5355.0 examples/sec; 0.024 sec/batch)
2018-02-02 11:26:08.911437: step 3600, loss = 111.87 (5497.4 examples/sec; 0.023 sec/batch)
2018-02-02 11:26:15.333997: step 3700, loss = 108.33 (1993.0 examples/sec; 0.064 sec/batch)
2018-02-02 11:26:16.537250: step 3800, loss = 125.81 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:17.740503: step 3900, loss = 111.87 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:18.943756: step 4000, loss = 115.74 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:20.147010: step 4100, loss = 112.15 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:21.350264: step 4200, loss = 132.96 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:22.590144: step 4300, loss = 118.44 (10323.6 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:23.786692: step 4400, loss = 123.31 (10697.4 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:24.987564: step 4500, loss = 109.08 (10658.9 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:26.190817: step 4600, loss = 112.33 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:27.378444: step 4700, loss = 122.61 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:28.581697: step 4800, loss = 117.63 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:29.769324: step 4900, loss = 97.80 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:30.972578: step 5000, loss = 115.08 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:32.160204: step 5100, loss = 126.88 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:33.363457: step 5200, loss = 114.76 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:34.582338: step 5300, loss = 117.91 (10501.4 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:35.780002: step 5400, loss = 124.28 (10687.5 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:36.983256: step 5500, loss = 112.09 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:38.170882: step 5600, loss = 109.89 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:39.358509: step 5700, loss = 122.73 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:41.124323: step 5800, loss = 106.28 (7248.8 examples/sec; 0.018 sec/batch)
2018-02-02 11:26:42.327576: step 5900, loss = 113.71 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:43.553886: step 6000, loss = 106.79 (10437.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:44.741514: step 6100, loss = 114.78 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:45.944766: step 6200, loss = 129.21 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:26:47.398046: step 6300, loss = 106.91 (8807.7 examples/sec; 0.015 sec/batch)
2018-02-02 11:26:49.684048: step 6400, loss = 119.65 (5599.3 examples/sec; 0.023 sec/batch)
2018-02-02 11:26:52.137436: step 6500, loss = 105.12 (5217.3 examples/sec; 0.025 sec/batch)
2018-02-02 11:26:54.340795: step 6600, loss = 107.42 (5809.3 examples/sec; 0.022 sec/batch)
2018-02-02 11:26:56.434579: step 6700, loss = 118.04 (6113.3 examples/sec; 0.021 sec/batch)
2018-02-02 11:26:58.872339: step 6800, loss = 115.74 (5250.7 examples/sec; 0.024 sec/batch)
2018-02-02 11:27:01.122579: step 6900, loss = 110.13 (5688.3 examples/sec; 0.023 sec/batch)
2018-02-02 11:27:03.396585: step 7000, loss = 126.35 (5628.8 examples/sec; 0.023 sec/batch)
2018-02-02 11:27:05.428052: step 7100, loss = 115.89 (6300.9 examples/sec; 0.020 sec/batch)
2018-02-02 11:27:06.630763: step 7200, loss = 126.63 (10642.6 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:07.834017: step 7300, loss = 119.88 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:09.021643: step 7400, loss = 129.26 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:10.834337: step 7500, loss = 103.37 (7061.3 examples/sec; 0.018 sec/batch)
2018-02-02 11:27:12.021963: step 7600, loss = 123.92 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:13.225216: step 7700, loss = 125.71 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:14.490976: step 7800, loss = 126.20 (10112.5 examples/sec; 0.013 sec/batch)
2018-02-02 11:27:15.772363: step 7900, loss = 121.12 (9989.2 examples/sec; 0.013 sec/batch)
2018-02-02 11:27:16.975616: step 8000, loss = 111.19 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:18.174330: step 8100, loss = 106.02 (10678.1 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:19.377584: step 8200, loss = 99.90 (10637.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:20.565211: step 8300, loss = 117.02 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:21.752837: step 8400, loss = 113.89 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:22.965335: step 8500, loss = 122.51 (10556.7 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:24.184215: step 8600, loss = 109.33 (10501.4 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:25.371841: step 8700, loss = 113.62 (10777.8 examples/sec; 0.012 sec/batch)
2018-02-02 11:27:26.564991: step 8800, loss = 119.50 (10727.9 examples/sec; 0.012 sec/batch)
